(276)x:4.800869, y:9.860240, z:1.057500
(277)x:4.793720, y:9.848277, z:1.072500
(278)x:4.780974, y:9.826690, z:1.417500
(279)x:4.775463, y:9.817323, z:1.187500
(280)x:4.768205, y:9.805250, z:1.027500
(281)x:4.762845, y:9.795728, z:1.067500
(282)x:4.755749, y:9.783052, z:1.072500
(283)x:4.748575, y:9.771056, z:1.080000
(284)x:4.723068, y:9.728062, z:1.130000
(285)x:4.710309, y:9.706496, z:1.122500
(286)x:4.703118, y:9.694315, z:1.125000
(287)x:4.685103, y:9.663160, z:1.210000
(288)x:4.665078, y:9.629663, z:1.700000
(289)x:4.657699, y:9.617437, z:1.667500
(290)x:4.652301, y:9.608277, z:1.257500
(291)x:4.644970, y:9.596154, z:1.255000
(292)x:4.619601, y:9.553212, z:1.275000
(293)x:4.613997, y:9.543472, z:1.562500
(294)x:4.606931, y:9.531519, z:1.410000
(295)x:4.599512, y:9.519703, z:1.425000
(296)x:4.594037, y:9.510361, z:1.365000
(297)x:4.586697, y:9.498594, z:1.370000
(298)x:4.581171, y:9.489053, z:1.400000
(299)x:4.573894, y:9.477384, z:1.422500
(300)x:4.568287, y:9.467689, z:1.452500
(301)x:4.561065, y:9.456140, z:1.445000
(302)x:4.553658, y:9.444366, z:1.450000
(303)x:4.548191, y:9.434953, z:1.377500
(304)x:4.540842, y:9.423215, z:1.352500
(305)x:4.535336, y:9.413695, z:1.380000
(306)x:4.527975, y:9.402187, z:1.510000
(307)x:4.522219, y:9.393250, z:1.520000
(308)x:4.514832, y:9.381916, z:1.487500
(309)x:4.507298, y:9.370349, z:1.497500
(310)x:4.501825, y:9.361290, z:1.510000
(311)x:4.494282, y:9.349922, z:1.430000
(312)x:4.488642, y:9.341415, z:1.585000
(313)x:4.481059, y:9.330017, z:1.487500
(314)x:4.467395, y:9.311759, z:1.560000
(315)x:4.459461, y:9.301034, z:1.537500
(316)x:4.453835, y:9.293415, z:1.542500
(317)x:4.445797, y:9.283125, z:1.540000
(318)x:4.437499, y:9.273019, z:1.567500
(319)x:4.432045, y:9.266660, z:1.582500
(320)x:4.423700, y:9.255935, z:1.620000
(321)x:4.414821, y:9.244732, z:1.622500
(322)x:4.409557, y:9.238475, z:1.677500
(323)x:4.401127, y:9.228383, z:1.590000
(324)x:4.395558, y:9.221820, z:1.625000
(325)x:4.387021, y:9.211818, z:1.675000
(326)x:4.378649, y:9.201862, z:1.655000
(327)x:4.373310, y:9.196134, z:1.565000
(328)x:4.364693, y:9.186201, z:1.677500
(329)x:4.356228, y:9.175286, z:1.700000
(330)x:4.351054, y:9.169113, z:1.835000
(331)x:4.342514, y:9.158743, z:1.705000
(332)x:4.333761, y:9.148363, z:2.070000
(333)x:4.328907, y:9.142069, z:1.975000
(334)x:4.320213, y:9.131467, z:1.940000
(335)x:4.311253, y:9.121320, z:1.965000
(336)x:4.306489, y:9.115828, z:1.687500
(337)x:4.297543, y:9.105463, z:1.675000
(338)x:4.288499, y:9.095119, z:1.812500
(339)x:4.283888, y:9.090059, z:2.090000
(340)x:4.274767, y:9.079749, z:1.960000
(341)x:4.265494, y:9.069913, z:1.982500
(342)x:4.261071, y:9.065046, z:1.852500
(343)x:4.251747, y:9.055119, z:1.920000
(344)x:4.242388, y:9.045344, z:1.935000
(345)x:4.238094, y:9.040636, z:2.037500
(346)x:4.228700, y:9.030592, z:2.007500
(347)x:4.219300, y:9.020657, z:2.050000
(348)x:4.209920, y:9.010867, z:2.027500
(349)x:4.205583, y:9.006359, z:2.065000
(350)x:4.196153, y:8.996546, z:2.095000
(351)x:4.186761, y:8.986597, z:1.997500
(352)x:4.182448, y:8.982281, z:1.897500
(353)x:4.172853, y:8.972610, z:2.015000
(354)x:4.163295, y:8.963219, z:2.037500
(355)x:4.159078, y:8.959250, z:2.080000
(356)x:4.149517, y:8.949418, z:2.110000
(357)x:4.139866, y:8.940115, z:2.135000
(358)x:4.135801, y:8.935924, z:1.862500
(359)x:4.126164, y:8.926410, z:1.817500
(360)x:4.116479, y:8.917085, z:1.775000
(361)x:4.106746, y:8.908096, z:1.842500
(362)x:4.102665, y:8.904230, z:1.730000
(363)x:4.092836, y:8.895292, z:1.722500
(364)x:4.082996, y:8.886493, z:1.890000
(365)x:4.069081, y:8.874323, z:1.850000
(366)x:4.059077, y:8.866061, z:1.922500
(367)x:4.045206, y:8.854205, z:1.807500
(368)x:4.035183, y:8.845746, z:1.792500
(369)x:4.025122, y:8.837296, z:1.845000
(370)x:4.011287, y:8.826124, z:2.055000
(371)x:4.001099, y:8.818059, z:2.050000
(372)x:3.990891, y:8.809875, z:2.082500
(373)x:3.966862, y:8.791080, z:2.385000
(374)x:3.956471, y:8.783695, z:2.092500
(375)x:3.942732, y:8.773579, z:2.082500
(376)x:3.932315, y:8.766177, z:2.222500
(377)x:3.921887, y:8.758824, z:2.230000
(378)x:3.908095, y:8.749584, z:2.260000
(379)x:3.897584, y:8.742576, z:2.172500
(380)x:3.887059, y:8.735842, z:2.107500
(381)x:3.873297, y:8.726958, z:2.192500
(382)x:3.862744, y:8.720226, z:2.140000
(383)x:3.852172, y:8.713629, z:2.315000
(384)x:3.841661, y:8.707067, z:2.145000
(385)x:3.827786, y:8.698349, z:2.110000
(386)x:3.817209, y:8.691875, z:2.115000
(387)x:3.806564, y:8.685670, z:2.067500
(388)x:3.792787, y:8.677367, z:2.145000
(389)x:3.782183, y:8.670660, z:2.120000
(390)x:3.771589, y:8.664266, z:2.127500
(391)x:3.761080, y:8.657668, z:2.120000
(392)x:3.747251, y:8.649072, z:2.130000
(393)x:3.736713, y:8.642174, z:2.377500
(394)x:3.726176, y:8.635748, z:2.310000
(395)x:3.712751, y:8.634742, z:2.112500
(396)x:3.702544, y:8.632152, z:2.110000
(397)x:3.692333, y:8.629552, z:2.170000
(398)x:3.679392, y:8.627562, z:2.170000
(399)x:2.881454, y:8.992036, z:2.140000
(400)x:2.875751, y:9.004668, z:2.120000
(401)x:2.824184, y:9.117641, z:1.995000
(402)x:2.818580, y:9.130257, z:2.000000
(403)x:2.767562, y:9.244524, z:1.867500
(404)x:2.710969, y:9.371457, z:1.727500
(405)x:2.705408, y:9.383939, z:1.740000
(406)x:2.682827, y:9.434705, z:1.992500
(407)x:2.261639, y:10.393840, z:0.567500
(408)x:2.255593, y:10.406251, z:0.770000
(409)x:2.249831, y:10.418055, z:0.535000
(410)x:2.243715, y:10.430418, z:0.535000
(411)x:2.237937, y:10.442052, z:0.755000
(412)x:2.189409, y:10.538506, z:0.515000
(413)x:2.135579, y:10.644238, z:0.227500
(414)x:2.087200, y:10.740861, z:0.245000
(415)x:2.021288, y:10.871568, z:-0.062500
(416)x:2.009131, y:10.895250, z:0.280000
(417)x:2.003411, y:10.906437, z:0.282500
(418)x:1.991436, y:10.930430, z:0.247500
(419)x:1.984799, y:10.943519, z:0.225000
(420)x:1.979364, y:10.954533, z:0.227500
(421)x:1.972756, y:10.967848, z:0.215000
(422)x:1.967658, y:10.979150, z:0.217500
(423)x:1.960993, y:10.992740, z:0.185000
(424)x:1.955965, y:11.003656, z:0.190000
(425)x:1.949191, y:11.017551, z:0.170000
(426)x:1.944381, y:11.028345, z:0.160000
(427)x:1.937688, y:11.042968, z:0.122500
(428)x:1.933158, y:11.053687, z:0.117500
(429)x:1.926464, y:11.068807, z:0.080000
(430)x:1.915608, y:11.095128, z:0.017500
(431)x:1.911735, y:11.105419, z:0.010000
(432)x:1.905470, y:11.122324, z:-0.030000
(433)x:1.902075, y:11.132191, z:-0.042500
